###########################################################################################
# PARAMETERS' DEFINITION FOR THE SHAMIR NETWORK from
# "On the Optimal Design of Water Distribution Networks: a Practical MINLP Approach"
# by Cristiana Bragalli, Claudia D'Ambrosio, Jon Lee, Andrea Lodi, Paolo Toth
# Optimization and Engineering, 2011
###########################################################################################
# Cristiana Bragalli, DISTART, University of Bologna, cristiana.bragalli@unibo.it
# Claudia D'Ambrosio, DEIS, University of Bologna, c.dambrosio@unibo.it
# Jon Lee, IBM T.J. Watson Research Center, jonlee@us.ibm.com
# Andrea Lodi, DEIS, University of Bologna, andrea.lodi@unibo.it
# Paolo Toth, DEIS, University of Bologna, paolo.toth@unibo.it
###########################################################################################

#Node's parameters: elevation, water demand, minumum pressure, maximum pressure

param: nodes:           D               E                P              pmax :=
2	                0.000794272	315.0738831    8        0 
3	                0.000397136	314.8725281    8        0 
4	                0.000034	314.1212158    8        0 
5	                0.000138	315.1039734    8        0 
6	                0.00019	        314.1956177    8        0 
7	                0.000122	313.3951721    8        0 
8	                0.000397136	313.8175964    8        0 
9	                0.000168	313.7581177    8        0 
10	                0.000397136	312.6132202    8        0 
11	                0.00051	        310.4109802    8        0 
12	                0.000308	309.7907104    8        0 
13	                0.000138	310.3404541    8        0 
14	                0.000108	310.8953247    8        0 
15	                0.000278	312.1161194    8        0 
16	                0.000118	312.3128662    8        0 
17	                0.000328	310.0037842    8        0 
18	                0.001606	306.8337097    8        0 
19	                0.000166	307.311615     8        0 
20	                0.000238	308.0070496    8        0 
21	                0.000302	310.5574341    8        0 
22	                0.00038	        309.1262817    8        0 
23	                0.000094	310.2655334    8        0 
24	                0.000634	309.2258301    8        0 
25	                0.000136	308.9642334    8        0 
26	                0.000068	308.9237671    8        0 
27	                0.000972	311.5927429    8        0 
28	                0.000974	310.9096985    8        0 
29	                0.000832	309.9947815    8        0 
30	                0.000442	307.9026489    8        0 
31	                0.00027	        308.6011963    8        0 
32	                0.003264	308.34021      8        0 
33	                0.002602	308.1611633    8        0 
34	                0.00023	        309.2758484    8        0 
35	                0.000252	309.7156982    8        0 
37	                0.000524	308.6421204    8        0 
36	                0.000464	307.8434143    8        0 
39	                0.000042	307.6400146    8        0 
38	                0.001084	307.0455017    8        0 
41	                0.00087	        308.0392151    8        0 
40	                0.000028	308            8        0 
43	                0.001342	307            8        0 
44	                0.000104	307.1699524    8        0 
45	                0.000397136	308.0230103    8        0 
46	                0.000397136	308.1092834    8        0 
47	                0.000198	306.8846436    8        0 
48	                0.000802	307.6140442    8        0 
49	                0.00057	        306.9403076    8        0 
50	                0.000082	307.4286194    8        0 
51	                0.000712	307.0831604    8        0 
52	                0.000397136	306.9536133    8        0 
53	                0.00029	        308            8        0 
54	                0.00081	        306.2966309    8        0 
55	                0.000006	306.6984253    8        0 
56	                0.000444	306.7286377    8        0 
57	                0.000397136	307.5482178    8        0 
58	                0.000664	307.130249     8        0 
59	                0.000378	307.8793335    8        0 
60	                0.00012	        306.9694519    8        0 
61	                0.00099	        306            8        0 
62	                0.00002	        304.4508057    8        0 
63	                0.000408	305.61203      8        0 
64	                0.000208	306.6389465    8        0 
65	                0.000538	304.072998     8        0 
66	                0.000866	304.7860413    8        0 
67	                0.000436	306            8        0 
68	                0.000896	303.569397     8        0 
69	                0.000334	304.0238647    8        0 
70	                0.000397136	304.8719177    8        0 
71	                0.000397136	304.9632568    8        0 
72	                0.000397136	305.3197327    8        0 
73	                0.000254	305.7504883    8        0 
74	                0.002168	305.8501892    8        0 
75	                0.000397136	305.5959167    8        0 
