param: nodes:           E               D                  P              pmax :=
 179001          	60          	0.00555            20              0
 179             	60          	0.00555            20              0
 177             	58.9        	0.00555            20              0
 174             	60          	0.00555            20              0
 173             	59.3        	0.00555            20              0
 171001          	60          	0.00555            20              0
 171             	60          	0.00555            20              0
 172             	60          	0.00555            20              0
 170             	60          	0.00555            20              0
 165             	56.7        	0.00555            20              0
 166             	57.3        	0.00555            20              0
 168             	57.1        	0.00555            20              0
 169             	56.5        	0.00555            20              0
 163             	55.2        	0.00555            20              0
 164             	57.8        	0.00555            20              0
 162             	55.2        	0.00555            20              0
 161             	55          	0.00555            20              0
 106             	54          	0.00555            20              0
 124             	52.2        	0.00555            20              0
 125             	51.1        	0.00555            20              0
 125001          	49.4        	0.00555            20              0
 126             	49.3        	0.00555            20              0
 127             	56.5        	0.00555            20              0
 128             	55          	0.00555            20              0
 129             	52.3        	0.00555            20              0
 130             	50.2        	0.00555            20              0
 132             	55          	0.00555            20              0
 131001          	57          	0.00555            20              0
 131             	52.4        	0.00555            20              0
 133             	46.6        	0.00555            20              0
 134             	28.8        	0.00555            20              0
 135             	60          	0.00555            20              0
 136             	43.3        	0.00555            20              0
 137             	25          	0.00555            20              0
 138             	23.6        	0.00555            20              0
 139             	42.5        	0.00555            20              0
 141             	50          	0.00555            20              0
 143             	38.3        	0.00555            20              0
 144             	36.8        	0.00555            20              0
 145             	27          	0.00555            20              0
 142             	24          	0.00555            20              0
 140001          	55.5        	0.00555            20              0
 151             	56.5        	0.00555            20              0
 152             	55          	0.00555            20              0
 107             	50          	0.00555            20              0
 108             	46.2        	0.00555            20              0
 109             	48.6        	0.00555            20              0
 110             	47.6        	0.00555            20              0
 111             	47.1        	0.00555            20              0
 113             	47.9        	0.00555            20              0
 114             	46          	0.00555            20              0
 112             	45.6        	0.00555            20              0
 115             	50          	0.00555            20              0
 116             	50          	0.00555            20              0
 117             	47.5        	0.00555            20              0
 118             	45          	0.00555            20              0
 119             	46          	0.00555            20              0
 105             	55.8        	0.00555            20              0
 102             	54.5        	0.00555            20              0
 103             	51.5        	0.00555            20              0
 104             	52.4        	0.00555            20              0
 100             	53.1        	0.00555            20              0
 101             	51.2        	0.00555            20              0
 96              	52.8        	0.00555            20              0
 97              	51.4        	0.00555            20              0
 98              	46          	0.00555            20              0
 99              	45          	0.00555            20              0
 93              	50          	0.00555            20              0
