###########################################################################################
#Cassiolato, G. H., Ruiz-Femenia, J. R., Salcedo-Diaz, R., and Ravagnani, M. A. (2024). “Wa-
#ter distribution networks optimization considering uncertainties in the demand nodes.”
#Water Resources Management, 38(4), 1479–1495. 
###########################################################################################

#Node's parameters: elevation, water demand, minumum pressure, maximum pressure

param: nodes:   E     D         P   pmax :=
1               50    0.00251   25    0
2               50    0.04407   25    0
3               40    0.04124   25    0
4               45    0.00104   25    0
5               45    0.00086   25    0
6               45    0.00132   25    0
7               45    0.00135   15    0
8               50    0.00859   15    0
9               45    0.00640   15    0
10              50    0.00607   15    0
11              35    0.00495   15    0
12              35    0.00838   15    0
13              35    0.01170   15    0
14              50    0.00563   15    0
15              60    0.00557   15    0
16              60    0.00630   15    0
17              60    0.00326   15    0
18              60    0.00360   15    0
19              60    0.00483   15    0
20              60    0.00450   15    0
21              50    0.00280   15    0
22              30    0.00546   15    0
23              35    0.06245   15    0
24              60    0.00819   15    0
25              35    0.05887   15    0
26              35    0.00326   15    0
27              43    0.00436   15    0
28              40    0.00425   15    0
29              25    0.00456   15    0
30              25    0.00832   15    0
31              35    0.00494   15    0
32              45    0.00409   15    0
33              50    0.00368   15    0
34              50    0.00404   15    0
35              60    0.00322   15    0
36              45    0.00253   15    0
37              45    0.00231   15    0
38              40    0.00250   15    0
39              40    0.00289   15    0
40              40    0.00248   15    0
41              40    0.00461   15    0
42              40    0.00347   15    0
43              40    0.00361   15    0
44              40    0.00517   15    0
45              40    0.00648   15    0
46              45    0.00491   15    0
47              40    0.00650   15    0
48              45    0.00497   15    0
49              30    0.00297   15    0
50              50    0.00180   15    0
51              40    0.00296   15    0
52              30    0.00466   15    0
53              45    0.00454   15    0
54              45    0.00880   15    0
55              45    0.00426   15    0
56              50    0.00298   15    0
57              50    0.00391   15    0
58              47    0.00370   15    0
59              50    0.00186   15    0
60              50    0.00312   15    0
61              45    0.00352   15    0
62              87     0         0      0 
;

param: arcs:     L      vmax :=
 62   1     2540    3.0
 1   2      350    3.0
 2   3     1140    3.0
 3   4     1430    3.0
 4   5     1020    3.0
 6   5     1430    3.0
 1   6     1710    3.0
 4   7      220    3.0
 7   8      190    3.0
 8   9      295    3.0
 9  10      390    3.0
10  11      370    3.0
11  12      190    3.0
13  12      310    3.0
 7  13      205    3.0
 8  14      305    3.0
14  15      295    3.0
16  15      300    3.0
17  16      290    3.0
18  17      180    3.0
10  18      315    3.0
17  19      300    3.0
19  20      295    3.0
21  20      215    3.0
22  25      140    3.0
23  22      220    3.0
24  23      220    3.0
10  24      285    3.0
30  25      300    3.0
25  26      315    3.0
11  26      170    3.0
 5  27      110    3.0
27  28      280    3.0
28  29      225    3.0
29  30      200    3.0
30  31      190    3.0
31  32      285    3.0
32  33      210    3.0
34  33      240    3.0
34  35      250    3.0
34   5      340    3.0
35  36      270    3.0
24  30      240    3.0
38  37      160    3.0
39  38      260    3.0
28  39      250    3.0
38  40      330    3.0
40  41      230    3.0
42  41      385    3.0
43  42      160    3.0
44  43      330    3.0
28  44      210    3.0
43  45      150    3.0
45  46      255    3.0
47  46      260    3.0
30  47      230    3.0
 6  48      115    3.0
48  49      180    3.0
49  50      140    3.0
50  51      215    3.0
51  52      175    3.0
52  53      180    3.0
26  54      260    3.0
60  53      205    3.0
56  55      255    3.0
 6  56      260    3.0
56  57      275    3.0
57  58      315    3.0
58  59      200    3.0
59  60      175    3.0
30  61      300    3.0
49  61      250    3.0
;


param: pipes:     d       R       C :=
1                 0.10    145     17.98
2                 0.15    145     44.75
3                 0.20    145     63.68
4                 0.25    145     85.19
5                 0.30    130     101.95
6                 0.35    130     121.55
7                 0.40    130     136.83
8                 0.45    130     171.09
9                 0.50    130     195.21
10                0.60    130     255.32
;

set Source:= 62; 
